COUNTRY,YEAR,FDI
KOR,1982,69000000
KOR,1983,68500000
KOR,1984,110200000
KOR,1985,233500000
KOR,1986,459600000
KOR,1987,616300000
KOR,1988,1014100000
KOR,1989,1117800000
KOR,1990,788500000
KOR,1991,1179800000
KOR,1992,728300000
KOR,1993,588100000
KOR,1994,809000000
KOR,1995,1775800000
KOR,1996,2325400000
KOR,1997,2844200000
KOR,1998,5412300000
KOR,1999,9333400000
KOR,2000,11509400000
KOR,2001,6522300000
KOR,2002,5475100000
KOR,2003,7010000000
KOR,2004,13294400000
KOR,2005,13643200000
KOR,2006,9161900000
KOR,2007,8826900000
KOR,2008,11187500000
KOR,2009,9021900000
KOR,2010,9497400000
KOR,2011,9773000000
KOR,2012,9495900000
KOR,2013,12766600000
KOR,2014,9273600000
KOR,2015,4104100000
KOR,2016,12104300000
KOR,2017,17052800000
CHN,1982,430000000
CHN,1983,636000000
CHN,1984,1258000000
CHN,1985,1659000000
CHN,1986,1875000000
CHN,1987,2314000000
CHN,1988,3194000000
CHN,1989,3393000000
CHN,1990,3487000000
CHN,1991,4366000000
CHN,1992,11156000000
CHN,1993,27515000000
CHN,1994,33787000000
CHN,1995,35849200000
CHN,1996,40180000000
CHN,1997,44237000000
CHN,1998,43751000000
CHN,1999,38753000000
CHN,2000,42095300000
CHN,2001,47053000000
CHN,2002,53073618897
CHN,2003,57900937467
CHN,2004,68117272181
CHN,2005,1.04109E+11
CHN,2006,1.24082E+11
CHN,2007,1.56249E+11
CHN,2008,1.71535E+11
CHN,2009,1.31057E+11
CHN,2010,2.43703E+11
CHN,2011,2.80072E+11
CHN,2012,2.41214E+11
CHN,2013,2.90928E+11
CHN,2014,2.68097E+11
CHN,2015,2.42489E+11
CHN,2016,1.7475E+11
CHN,2017,1.68224E+11
THA,1982,190868602.2
THA,1983,349606931.8
THA,1984,401019248.9
THA,1985,163200658
THA,1986,262504153.8
THA,1987,351932497.4
THA,1988,1105370110
THA,1989,1775449345
THA,1990,2443549743
THA,1991,2013985971
THA,1992,2113021867
THA,1993,1804040985
THA,1994,1366440825
THA,1995,2067936429
THA,1996,2335837475
THA,1997,3894755071
THA,1998,7314804931
THA,1999,6102677671
THA,2000,3365987583
THA,2001,5067170388
THA,2002,3341612007
THA,2003,5232270340
THA,2004,5860255943
THA,2005,8215637195
THA,2006,8917470351
THA,2007,8633903441
THA,2008,8561557725
THA,2009,6411458545
THA,2010,14746672920
THA,2011,2473685996
THA,2012,12899036061
THA,2013,15935960663
THA,2014,4975455660
THA,2015,8927579181
THA,2016,3063235324
THA,2017,9100906409
MYS,1982,1397196045
MYS,1983,1260527733
MYS,1984,797476861.3
MYS,1985,694712466.2
MYS,1986,488874111
MYS,1987,422679710
MYS,1988,719418050.4
MYS,1989,1667871569
MYS,1990,2332455289
MYS,1991,3998448522
MYS,1992,5183358086
MYS,1993,5005642760
MYS,1994,4341800916
MYS,1995,4178239335
MYS,1996,5078414948
MYS,1997,5136514576
MYS,1998,2163401816
MYS,1999,3895263158
MYS,2000,3787631579
MYS,2001,553947368.4
MYS,2002,3192894737
MYS,2003,3218947368
MYS,2004,4376052632
MYS,2005,3924786635
MYS,2006,7690731246
MYS,2007,9071369835
MYS,2008,7572512432
MYS,2009,114664434.6
MYS,2010,10885614182
MYS,2011,15119371191
MYS,2012,8895774251
MYS,2013,11296278696
MYS,2014,10619431770
MYS,2015,9857162233
MYS,2016,13470089672
MYS,2017,9511691608
IDN,1982,225000000
IDN,1983,292000000
IDN,1984,222000000
IDN,1985,310000000
IDN,1986,258000000
IDN,1987,385000000
IDN,1988,576000000
IDN,1989,682000000
IDN,1990,1093000000
IDN,1991,1482000000
IDN,1992,1777000000
IDN,1993,2004000000
IDN,1994,2109000000
IDN,1995,4346000000
IDN,1996,6194000000
IDN,1997,4677000000
IDN,1998,-240800000
IDN,1999,-1865620963
IDN,2000,-4550355286
IDN,2001,-2977391857
IDN,2002,145085548.7
IDN,2003,-596923827.8
IDN,2004,1896082770
IDN,2005,8336257208
IDN,2006,4914201435
IDN,2007,6928480000
IDN,2008,9318453650
IDN,2009,4877369178
IDN,2010,15292009411
IDN,2011,20564938227
IDN,2012,21200778608
IDN,2013,23281742362
IDN,2014,25120732060
IDN,2015,19779127977
IDN,2016,4541713739
IDN,2017,22078215176