"Extended Year Set - Patent Counts By Country, State, and Year?",,,,,,,,,U.S. PATENT AND TRADEMARK OFFICE
Utility Patents,,,,,,,,,Patent Technology Monitoring Team (PTMT)
(December 2015),,,,,,,,,
,,,,,,,,,
Granted: 01/01/1963 - 12/31/2015,,,,,,,,,
A Patent Technology Monitoring Team Report,,,,,,,,,
,,,,,,,,,
COUNTRY,YEAR,UP,,,,,,,
KOR,1963,0,,,,,,,
KOR,1964,3,,,,,,,
KOR,1965,2,,,,,,,
KOR,1966,2,,,,,,,
KOR,1967,0,,,,,,,
KOR,1968,2,,,,,,,
KOR,1969,0,,,,,,,
KOR,1970,3,,,,,,,
KOR,1971,2,,,,,,,
KOR,1972,7,,,,,,,
KOR,1973,5,,,,,,,
KOR,1974,7,,,,,,,
KOR,1975,13,,,,,,,
KOR,1976,7,,,,,,,
KOR,1977,6,,,,,,,
KOR,1978,13,,,,,,,
KOR,1979,5,,,,,,,
KOR,1980,8,,,,,,,
KOR,1981,17,,,,,,,
KOR,1982,14,,,,,,,
KOR,1983,26,,,,,,,
KOR,1984,30,,,,,,,
KOR,1985,41,,,,,,,
KOR,1986,46,,,,,,,
KOR,1987,84,,,,,,,
KOR,1988,96,,,,,,,
KOR,1989,159,,,,,,,
KOR,1990,225,,,,,,,
KOR,1991,405,,,,,,,
KOR,1992,538,,,,,,,
KOR,1993,779,,,,,,,
KOR,1994,943,,,,,,,
KOR,1995,1161,,,,,,,
KOR,1996,1493,,,,,,,
KOR,1997,1891,,,,,,,
KOR,1998,3259,,,,,,,
KOR,1999,3562,,,,,,,
KOR,2000,3314,,,,,,,
KOR,2001,3538,,,,,,,
KOR,2002,3786,,,,,,,
KOR,2003,3944,,,,,,,
KOR,2004,4428,,,,,,,
KOR,2005,4351,,,,,,,
KOR,2006,5908,,,,,,,
KOR,2007,6295,,,,,,,
KOR,2008,7548,,,,,,,
KOR,2009,8762,,,,,,,
KOR,2010,11671,,,,,,,
KOR,2011,12262,,,,,,,
KOR,2012,13233,,,,,,,
KOR,2013,14548,,,,,,,
KOR,2014,16469,,,,,,,
KOR,2015,17924,,,,,,,
CHN,1963,4,,,,,,,
CHN,1964,3,,,,,,,
CHN,1965,4,,,,,,,
CHN,1966,2,,,,,,,
CHN,1967,9,,,,,,,
CHN,1968,5,,,,,,,
CHN,1969,5,,,,,,,
CHN,1970,6,,,,,,,
CHN,1971,15,,,,,,,
CHN,1972,8,,,,,,,
CHN,1973,10,,,,,,,
CHN,1974,22,,,,,,,
CHN,1975,0,,,,,,,
CHN,1976,0,,,,,,,
CHN,1977,0,,,,,,,
CHN,1978,0,,,,,,,
CHN,1979,0,,,,,,,
CHN,1980,0,,,,,,,
CHN,1981,2,,,,,,,
CHN,1982,0,,,,,,,
CHN,1983,0,,,,,,,
CHN,1984,2,,,,,,,
CHN,1985,1,,,,,,,
CHN,1986,7,,,,,,,
CHN,1987,23,,,,,,,
CHN,1988,45,,,,,,,
CHN,1989,46,,,,,,,
CHN,1990,42,,,,,,,
CHN,1991,44,,,,,,,
CHN,1992,41,,,,,,,
CHN,1993,52,,,,,,,
CHN,1994,48,,,,,,,
CHN,1995,62,,,,,,,
CHN,1996,46,,,,,,,
CHN,1997,62,,,,,,,
CHN,1998,72,,,,,,,
CHN,1999,90,,,,,,,
CHN,2000,118,,,,,,,
CHN,2001,195,,,,,,,
CHN,2002,288,,,,,,,
CHN,2003,297,,,,,,,
CHN,2004,403,,,,,,,
CHN,2005,402,,,,,,,
CHN,2006,659,,,,,,,
CHN,2007,770,,,,,,,
CHN,2008,1223,,,,,,,
CHN,2009,1654,,,,,,,
CHN,2010,2655,,,,,,,
CHN,2011,3174,,,,,,,
CHN,2012,4637,,,,,,,
CHN,2013,5928,,,,,,,
CHN,2014,7236,,,,,,,
CHN,2015,8116,,,,,,,
MYS,1963,1,,,,,,,
MYS,1964,0,,,,,,,
MYS,1965,2,,,,,,,
MYS,1966,2,,,,,,,
MYS,1967,0,,,,,,,
MYS,1968,0,,,,,,,
MYS,1969,0,,,,,,,
MYS,1970,1,,,,,,,
MYS,1971,0,,,,,,,
MYS,1972,0,,,,,,,
MYS,1973,0,,,,,,,
MYS,1974,1,,,,,,,
MYS,1975,3,,,,,,,
MYS,1976,3,,,,,,,
MYS,1977,3,,,,,,,
MYS,1978,1,,,,,,,
MYS,1979,2,,,,,,,
MYS,1980,0,,,,,,,
MYS,1981,1,,,,,,,
MYS,1982,1,,,,,,,
MYS,1983,2,,,,,,,
MYS,1984,2,,,,,,,
MYS,1985,3,,,,,,,
MYS,1986,4,,,,,,,
MYS,1987,2,,,,,,,
MYS,1988,2,,,,,,,
MYS,1989,2,,,,,,,
MYS,1990,3,,,,,,,
MYS,1991,12,,,,,,,
MYS,1992,5,,,,,,,
MYS,1993,13,,,,,,,
MYS,1994,10,,,,,,,
MYS,1995,7,,,,,,,
MYS,1996,12,,,,,,,
MYS,1997,17,,,,,,,
MYS,1998,23,,,,,,,
MYS,1999,30,,,,,,,
MYS,2000,42,,,,,,,
MYS,2001,39,,,,,,,
MYS,2002,55,,,,,,,
MYS,2003,50,,,,,,,
MYS,2004,80,,,,,,,
MYS,2005,88,,,,,,,
MYS,2006,113,,,,,,,
MYS,2007,158,,,,,,,
MYS,2008,152,,,,,,,
MYS,2009,158,,,,,,,
MYS,2010,202,,,,,,,
MYS,2011,161,,,,,,,
MYS,2012,210,,,,,,,
MYS,2013,214,,,,,,,
MYS,2014,259,,,,,,,
MYS,2015,256,,,,,,,
THA,1963,0,,,,,,,
THA,1964,0,,,,,,,
THA,1965,0,,,,,,,
THA,1966,0,,,,,,,
THA,1967,0,,,,,,,
THA,1968,0,,,,,,,
THA,1969,0,,,,,,,
THA,1970,0,,,,,,,
THA,1971,1,,,,,,,
THA,1972,1,,,,,,,
THA,1973,0,,,,,,,
THA,1974,2,,,,,,,
THA,1975,1,,,,,,,
THA,1976,0,,,,,,,
THA,1977,1,,,,,,,
THA,1978,0,,,,,,,
THA,1979,1,,,,,,,
THA,1980,2,,,,,,,
THA,1981,2,,,,,,,
THA,1982,0,,,,,,,
THA,1983,2,,,,,,,
THA,1984,1,,,,,,,
THA,1985,1,,,,,,,
THA,1986,3,,,,,,,
THA,1987,1,,,,,,,
THA,1988,2,,,,,,,
THA,1989,4,,,,,,,
THA,1990,2,,,,,,,
THA,1991,2,,,,,,,
THA,1992,1,,,,,,,
THA,1993,5,,,,,,,
THA,1994,5,,,,,,,
THA,1995,8,,,,,,,
THA,1996,11,,,,,,,
THA,1997,5,,,,,,,
THA,1998,13,,,,,,,
THA,1999,20,,,,,,,
THA,2000,15,,,,,,,
THA,2001,24,,,,,,,
THA,2002,44,,,,,,,
THA,2003,25,,,,,,,
THA,2004,18,,,,,,,
THA,2005,16,,,,,,,
THA,2006,31,,,,,,,
THA,2007,11,,,,,,,
THA,2008,22,,,,,,,
THA,2009,23,,,,,,,
THA,2010,46,,,,,,,
THA,2011,53,,,,,,,
THA,2012,36,,,,,,,
THA,2013,77,,,,,,,
THA,2014,75,,,,,,,
THA,2015,89,,,,,,,
IND,1963,0,,,,,,,
IND,1964,0,,,,,,,
IND,1965,0,,,,,,,
IND,1966,5,,,,,,,
IND,1967,12,,,,,,,
IND,1968,25,,,,,,,
IND,1969,0,,,,,,,
IND,1970,1,,,,,,,
IND,1971,2,,,,,,,
IND,1972,2,,,,,,,
IND,1973,6,,,,,,,
IND,1974,8,,,,,,,
IND,1975,0,,,,,,,
IND,1976,2,,,,,,,
IND,1977,0,,,,,,,
IND,1978,2,,,,,,,
IND,1979,1,,,,,,,
IND,1980,1,,,,,,,
IND,1981,1,,,,,,,
IND,1982,2,,,,,,,
IND,1983,0,,,,,,,
IND,1984,1,,,,,,,
IND,1985,1,,,,,,,
IND,1986,3,,,,,,,
IND,1987,0,,,,,,,
IND,1988,2,,,,,,,
IND,1989,4,,,,,,,
IND,1990,3,,,,,,,
IND,1991,2,,,,,,,
IND,1992,8,,,,,,,
IND,1993,4,,,,,,,
IND,1994,9,,,,,,,
IND,1995,4,,,,,,,
IND,1996,1,,,,,,,
IND,1997,5,,,,,,,
IND,1998,3,,,,,,,
IND,1999,5,,,,,,,
IND,2000,6,,,,,,,
IND,2001,4,,,,,,,
IND,2002,7,,,,,,,
IND,2003,9,,,,,,,
IND,2004,4,,,,,,,
IND,2005,10,,,,,,,
IND,2006,3,,,,,,,
IND,2007,5,,,,,,,
IND,2008,5,,,,,,,
IND,2009,3,,,,,,,
IND,2010,6,,,,,,,
IND,2011,7,,,,,,,
IND,2012,8,,,,,,,
IND,2013,15,,,,,,,
IND,2014,9,,,,,,,
IND,2015,20,,,,,,,
